Mjesto,Ulica,Adresa ključ,Preostalo CIJEPANO m3,Isporučeno CIJEPANO m3,Preostalo U DUGOM m3,Isporučeno U DUGOM m3,Preostalo RVI m3,Isporučeno RVI m3,Preostalo PORODICE ŠEHIDA m3,Isporučeno PORODICE ŠEHIDA m3,Preostalo SINDIKAT m3,Isporučeno SINDIKAT m3,Preostalo ukupno m3,Adresa za kartu,Lat,Lng
Besica Brdo,Vrlednica,Besica Brdo|VRLEDNICA,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,"Vrlednica, Besica Brdo, Bosna i Hercegovina",,
Bosanska Krupa,V. Badić,Bosanska Krupa|V BADIC,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,10.0,"V. Badić, Bosanska Krupa, Bosna i Hercegovina",,
Mahmić Selo,Mahmić Most,Mahmić Selo|MAHMIC MOST,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,"Mahmić Most, Mahmić Selo, Bosna i Hercegovina",,
Bosanska Krupa,11Slavne Sp/30,Bosanska Krupa|11SLAVNE SP,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,"11Slavne Sp/30, Bosanska Krupa, Bosna i Hercegovina",,
Mahmic Most,Mahmić Most,Mahmic Most|MAHMIC MOST,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,"Mahmić Most, Mahmic Most, Bosna i Hercegovina",,
Bosanska Krupa,Podmračajska Bb-pored Pruge,Bosanska Krupa|PODMRACAJSKA PORED PRUGE,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,"Podmračajska Bb-pored Pruge, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Vrletnica,Bosanska Krupa|VRLETNICA,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,"Vrletnica, Bosanska Krupa, Bosna i Hercegovina",,
Pištaline,Pištaline,Pištaline|PISTALINE,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Pištaline, Pištaline, Bosna i Hercegovina",,
Pištaline,Oraščani,Pištaline|ORASCANI,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Oraščani, Pištaline, Bosna i Hercegovina",,
Bosanska Krupa,Mahala,Bosanska Krupa|MAHALA,7.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Mahala, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,27 Juli,Bosanska Krupa|27 JULA,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"27 Juli, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Varmazi,Bosanska Otoka|VARMAZI,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Varmazi, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Novo Naselje,Bosanska Otoka|NOVO NASELJE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,"Novo Naselje, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Otočki Heroja Drva Isporučiti Kod Sina Kahrić Hasana,Bosanska Otoka|OTOCKI HEROJA DRVA ISPORUCITI KOD SINA KAHRIC HASANA,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,"Otočki Heroja Drva Isporučiti Kod Sina Kahrić Hasana, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Kajtezi,Bosanska Otoka|KAJTEZI,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Kajtezi, Bosanska Otoka, Bosna i Hercegovina",,
